side,movie_title,emo_types,n_nrc_categories,nrc_entropy
human,The Virgin of Liverpool,1,0,0.0
ai,The Virgin of Liverpool,2,0,0.0
human,The Watcher (I),4,4,1.9182958340544896
ai,The Watcher (I),1,2,1.0
human,The Wayward Bus,3,3,1.584962500721156
ai,The Wayward Bus,1,4,2.0
human,The White Tower,1,0,0.0
ai,The White Tower,1,2,1.0
human,The Wicked Lady,3,0,0.0
ai,The Wicked Lady,4,2,0.9182958340544896
human,The Zodiac,4,4,1.9182958340544891
ai,The Zodiac,3,0,0.0
human,They Met in Bombay,3,2,1.0
ai,They Met in Bombay,3,7,2.725480556997868
human,Three Way,2,0,0.0
ai,Three Way,4,4,1.9219280948873625
human,Thriller: Death in Small Doses,3,2,1.0
ai,Thriller: Death in Small Doses,4,5,2.321928094887362
human,To Die For,0,0,0.0
ai,To Die For,1,1,-0.0
human,Tomorrow Never Dies,2,7,2.807354922057604
ai,Tomorrow Never Dies,1,0,0.0
human,Tooba,2,1,-0.0
ai,Tooba,3,1,-0.0
human,Touched by Love,3,4,2.0
ai,Touched by Love,5,1,-0.0
human,Troll 2,3,4,1.9898980954642875
ai,Troll 2,2,4,2.0
human,Tube Tales,2,0,0.0
ai,Tube Tales,4,1,-0.0
human,Turtles Can Fly,4,5,2.321928094887362
ai,Turtles Can Fly,3,3,1.584962500721156
human,Tushka,0,0,0.0
ai,Tushka,4,4,2.0
human,Two for the Road,4,6,2.584962500721156
ai,Two for the Road,3,7,2.73345859334435
human,Two Idiots in Hollywood,3,2,1.0
ai,Two Idiots in Hollywood,1,0,0.0
human,Under the Boardwalk,3,1,-0.0
ai,Under the Boardwalk,3,1,-0.0
human,"Vendetta: No Conscience, No Mercy",3,5,2.321928094887362
ai,"Vendetta: No Conscience, No Mercy",3,1,-0.0
human,Violent Shit III: Infantry of Doom,1,0,0.0
ai,Violent Shit III: Infantry of Doom,3,4,2.0
human,Vital,3,1,-0.0
ai,Vital,7,1,-0.0
human,Walking Back,4,6,2.5216406363433186
ai,Walking Back,1,1,-0.0
human,Watch Me When I Kill,2,4,1.974937501201927
ai,Watch Me When I Kill,0,0,0.0
human,Welt Spiegel Kino,0,0,0.0
ai,Welt Spiegel Kino,4,5,2.25
human,When Ocean Meets Sky,2,2,1.0
